Nota,Título,Comentário
1,Reservas,Gerenciar tarefas não funciona!!
5,Ficou top!!!,"Parabéns aos desenvolvedores, além das excelentes tarifas da Movida, recurso do rádio 👏🏼👏🏼👏🏼"
1,Ruim,Não faz login
1,Fecha sozinho,O app fecha quando clicado em procurar.
4,Legal pena que não funciona em iPhone 6 Plus,"O app é bem simples e intuitivo mas não está funcionando corretamente no iphone 6 plus, não é possível escolher a data, o botão confirmar fica oculto pela tela. Favor consertarem."
1,Péssimo não abre,"Aplicativo péssimo não abre, deveria ser removido da App Store e se possível atribuir zero."
1,Não abre,App com bug
1,Não funciona,Não funciona!!!
1,Não funciona,1 segundo e fecha
1,Bugado,"Alô desenvolvedores, app fecha automaticamente ao tentar abrir, borá tirar do ar e corrigir. Dispositivos utilizado iPhone 6"
1,App é um lixo,"Abre e fecha, abre e fecha, enfim, é um lixo!!!"
1,Péssimo,Não funciona. O aplicativo trava toda hora. Abre e fecha em 3 a 5 segundos. Lixo. Não baixem.
3,Bug,"Baixei o app, quando abri ele fica menos de 1 seg ativo e fecha automaticamente"
1,App não abre,Baixei esperando que conseguiria utilizar. Mas o app abre e fecha automaticamente.
3,Check in,"Check in não funciona, diz que CPF já existe impossibilitando continuar com o processo.
Todos os campos preenchidos corretamente.
No mais o aplicativo é legal e muito útil."
1,Péssimo,"Nada funciona, de nada serve!"
1,Terrível,"Textos cortados, telas sem botão voltar, entre outros defeitos."
1,Trava e fecha.,"Muito ruim. Não te dá resposta, trava e fecha."
1,Mega ruim,Muito mais muito ruim o aplicativo trava toda hora
1,Inútil,"A única coisa que ele faz é abrir, ao tentar fazer uma reserva os campos ficam sem opções, qualquer outra consulta o App fecha inesperadamente."
1,Não funciona,Total perda de tempo. Inútil.
2,App está com muitos erros!,"Tentei fazer uma reserva e nada!
Ele vai bem até o momento de escolher a categoria. Além de estar em branco, sem possibilidade de escolher a categoria, ele trava e fecha do nada.

A ideia do app é inovadora, porém se nao funcionar, nao presta!"
4,Funciona naquelas,"O app funciona bem, mas por exemplo, ao encostar para entrar em contato com a central 0800 a gvt informa que não é possível ligar a partir de celulares. Então o iPhone é o que? Kkk. Poderia ter tmb como consultar reservas."
1,Não há como fazer reserva,Tentei de todas as formas fazer uma reserva e não consegui. Sempre recebo a mesma mensagem de erro? E agora? Desperdício de tempo..
5,Sensacional!!!,"Parabéns pelo app, funcionou perfeitamente, adorei!!!"
1,Não consegui realizar a reserva,"A ideia do aplicativo é maravilhosa, mas na minha versão do IOS simplesmente não funcionou a função para reserva."
5,Excelente,"Muito util o aplicativo. 

Fiz uma reserva para o carnaval e logo em seguida me ligaram para confirmar. 

Mto bom mesmo. 

Recomendo."
5,Agora sim!,"Estava esperando esse aplicativo há algum tempo. Ficou bastante simples e fácil de usar, irá facilitar bastante minha vida."
5,Fera,Primeiro app a fazer reserva de veículos no Brasil via celular
1,Não funciona,App não funciona para cadastro
