Nota,Título,Comentário
5,Jogo massa,Desafiador e interessante!
4,Muito bom!,Adoro!!!!!
5,.,Volta com o modo Odus por favor
5,Adoro,Adoro o jogo!!
5,Nath,Muito bom!
5,Legal,Esse é o jogo mais legal pq quando agente está no banheiro agente joga da mais prazer em jogar ksksksks 😂
5,😍👍excelente,Recomendo
5,Muito topppp,Muito topppp
5,Muito divertido!!,Nota 10!!
5,Amo,Ótimo
5,Divertido,"Gosto muito, mas acho estranho não ter fim nunca o jogo"
5,Thaises,"Adoro o jogo 👏
Seria melhor se não tivesse que comprar coisas no App pra ficar melhor ainda o jogo 😉"
5,Gostei,Bom
5,Mt bom,As vezes estressante kkkk
3,Roleta,Já que o Jackpot não funciona deveria ser substituído por outro prêmio.  Talvez uma vida...   mais de cinco anos que eu jogo e nunca parou no jackpot.
5,Legal,Passa tempo
5,Baaao,Não
5,Conectar,"Não estou conseguindo conectar ao Facebook, para comparar ranking com meus amigos, competimos semanalmente ! Vejam isso pf"
5,Top,Muito bom
5,Excelente jogo,Jogo divertido e muito bom!!
1,Falha,Não está conectando ao face
5,O melhor !! Amoooo,TOP
5,Sensacional,Sensação de prazer 😻❤️
1,O capacete está uma droga!!!,"O jogo alterou o modo do capacete, que tem aqueles prêmios, antes era possível completar ele em qualquer fase e agora só passando das fases atuais, sendo que antes era possível pegar o capacete pelas fases antiga e isso prejudicou o jogo, para pegar os prêmios, passar de fase. Como passar dessas fases super difíceis sem capacete completo? Isso atalhada o jogo e estou realmente custeada e até parando de jogar por conta disso. Tem como voltarem como era antes? Por favor concertem isso!!"
5,Ótimo jogo,Estou amando
4,Mal funcionamento,"A montagem do robô não está funcionando, você passa as fases e não recebe o bônus."
5,Melhor jogo,Amoo demaiss
5,Top,👍🏼👍🏼
5,Muito bom,Otimo
5,Amo,To viciado
5,Muito bom!!!,Muito bom!!!
5,Show,Viciado eu to kkk
5,Altamente viciante,Você se sente totalmente desafiado e quando ver passa horas jogando !
5,Amo,Adoro
5,Passatempo divertido,Passatempo divertido demais
5,Amo Candy,Minha versão é muito antiga preciso atualizar como faço
5,Ótimo,"Ótimo jogo, me acalma muito e não trava meu celular 👍🏼"
1,Péssima a última atualização,"Ficou péssima a atualização de não ter mais os booster. Essa construção de robô e quebrava você no nível em que está dificultou sobremaneira
Antes a gente podia jogar outros níveis mais baixos e conseguir os booster. Detestei, além do mais se você desligar o jogo é for jogar novamente ele zera todas as partes do robô que vc já tinha conseguido"
5,Maravilhoso,Mtooo booom
1,Lixo,Jogo babaca
5,Melhor jogo,Excelente
1,Fases repetidas,A partir da fase 3600 muitos níveis estão repetidos! Qual o objetivo de passar de fase se é o mesmo nível que já joguei anteriormente???????? Péssimo.
4,Já foi melhor,Tem que demorar mais pra mostrar a jogada possível!
5,Eu adoro,Sem duvidas é o jogo que eu mais gosto e jogo há anos.
5,Ótimo,Muito bom
5,♥️👌🍭 🍬,App MARAVILHOSO
5,amo,melhor jogo da vida
5,Bom jogo,Bom jogo
2,Spring sale,Bought the spring sale combo but only got the 20 gold bars... where are the other items?
5,Show😍😍,Amoooooo
